passer_player_name,total_gwd_attempts,successful_gwd_attempts,pct_successful_gwd,games_with_gwd_attempt,games_won_with_gwd_attempt,pct_won_when_gwd_attempt,games_with_successful_gwd,games_won_after_successful_gwd,pct_won_after_successful_gwd
K.Boller,19,5,0.2631578947368421,13,3,0.23076923076923078,4,2,0.5
C.Simms,19,5,0.2631578947368421,10,3,0.3,2,2,1
B.Leftwich,23,6,0.2608695652173913,22,7,0.3181818181818182,5,4,0.8
D.Jones,43,11,0.2558139534883721,28,8,0.2857142857142857,10,7,0.7
S.Darnold,43,11,0.2558139534883721,26,8,0.3076923076923077,9,7,0.7777777777777778
J.Brissett,47,12,0.2553191489361702,27,5,0.18518518518518517,8,5,0.625
J.Garcia,51,13,0.2549019607843137,36,11,0.3055555555555556,11,10,0.9090909090909091
R.Lucas,12,3,0.25,3,1,0.3333333333333333,0,0,
A.Davis,8,2,0.25,5,1,0.2,1,1,1
J.O'Sullivan,4,1,0.25,2,1,0.5,0,0,
R. Gannon,12,3,0.25,7,1,0.14285714285714285,2,1,0.5
T.Edwards,12,3,0.25,8,2,0.25,1,1,1
B.Petty,4,1,0.25,3,1,0.3333333333333333,0,0,
M.Schaub,52,13,0.25,31,10,0.3225806451612903,8,6,0.75
M.Trubisky,33,8,0.24242424242424243,19,6,0.3157894736842105,5,5,1
M.Jones,29,7,0.2413793103448276,18,4,0.2222222222222222,5,3,0.6
C.Newton,75,18,0.24,49,13,0.2653061224489796,15,13,0.8666666666666667
G.Frerotte,25,6,0.24,16,6,0.375,5,5,1
R.Griffin,25,6,0.24,15,4,0.26666666666666666,4,4,1
T.Green,26,6,0.23076923076923078,18,5,0.2777777777777778,5,5,1
K.Graham,13,3,0.23076923076923078,4,2,0.5,0,0,
T.Huntley,13,3,0.23076923076923078,8,2,0.25,2,2,1
B.Osweiler,13,3,0.23076923076923078,10,4,0.4,2,2,1
M.Mariota,57,13,0.22807017543859648,32,11,0.34375,9,7,0.7777777777777778
T.Aikman,22,5,0.22727272727272727,7,2,0.2857142857142857,1,0,0
R.Grossman,22,5,0.22727272727272727,17,6,0.35294117647058826,5,4,0.8
T.Taylor,40,9,0.225,20,3,0.15,4,3,0.75
B.Favre,96,21,0.21875,52,22,0.4230769230769231,20,17,0.85
J.Winston,60,13,0.21666666666666667,36,11,0.3055555555555556,11,10,0.9090909090909091
J.Losman,14,3,0.21428571428571427,10,3,0.3,3,3,1
N.Mullens,14,3,0.21428571428571427,9,3,0.3333333333333333,1,1,1
D.Bledsoe,80,17,0.2125,38,11,0.2894736842105263,7,6,0.8571428571428571
Z.Wilson,15,3,0.2,9,3,0.3333333333333333,3,3,1
C.Lemon,5,1,0.2,5,1,0.2,1,1,1
D.Stanton,5,1,0.2,4,1,0.25,1,1,1
M.Barkley,5,1,0.2,5,0,0,1,0,0
B.Quinn,5,1,0.2,4,1,0.25,1,1,1
S.Sanders,5,1,0.2,4,1,0.25,1,1,1
B.Tolliver,10,2,0.2,4,0,0,1,0,0
B.Johnson,63,12,0.19047619047619047,33,10,0.30303030303030304,8,5,0.625
D.Anderson,21,4,0.19047619047619047,14,3,0.21428571428571427,2,2,1
M.Glennon,16,3,0.1875,10,2,0.2,2,1,0.5
C.Henne,27,5,0.18518518518518517,20,4,0.2,5,4,0.8
G.Minshew,27,5,0.18518518518518517,12,4,0.3333333333333333,2,2,1
J.George,27,5,0.18518518518518517,7,2,0.2857142857142857,0,0,
J.Kitna,71,13,0.18309859154929578,40,11,0.275,10,8,0.8
E.Manuel,11,2,0.18181818181818182,7,1,0.14285714285714285,1,1,1
C.Weinke,11,2,0.18181818181818182,7,1,0.14285714285714285,1,1,1
J.Dobbs,11,2,0.18181818181818182,6,1,0.16666666666666666,1,1,1
S.Hill,11,2,0.18181818181818182,7,2,0.2857142857142857,2,2,1
C.Beathard,11,2,0.18181818181818182,7,0,0,1,0,0
M.Brunell,39,7,0.1794871794871795,25,9,0.36,2,2,1
C.Ponder,17,3,0.17647058823529413,9,2,0.2222222222222222,2,2,1
D.Lock,17,3,0.17647058823529413,10,2,0.2,2,2,1
T.McSorley,6,1,0.16666666666666666,3,1,0.3333333333333333,1,1,1
J.Johnson,6,1,0.16666666666666666,4,1,0.25,1,1,1
T.Banks,12,2,0.16666666666666666,7,3,0.42857142857142855,1,1,1
K.Holcomb,18,3,0.16666666666666666,13,2,0.15384615384615385,3,2,0.6666666666666666
K.Clemens,12,2,0.16666666666666666,8,2,0.25,2,1,0.5
B.Bortles,42,7,0.16666666666666666,26,6,0.23076923076923078,7,6,0.8571428571428571
P.Ramsey,12,2,0.16666666666666666,9,1,0.1111111111111111,2,1,0.5
C.Painter,6,1,0.16666666666666666,4,0,0,0,0,
C.Frye,6,1,0.16666666666666666,6,1,0.16666666666666666,1,1,1
D.Orlovsky,6,1,0.16666666666666666,5,1,0.2,1,1,1
S.King,12,2,0.16666666666666666,7,1,0.14285714285714285,2,1,0.5
J.Webb,6,1,0.16666666666666666,4,1,0.25,0,0,
C.Keenum,31,5,0.16129032258064516,21,4,0.19047619047619047,5,4,0.8
J.McCown,56,9,0.16071428571428573,35,5,0.14285714285714285,6,3,0.5
